,ingredients
"Rice,Urad Dal",{0}
"Rice,Urad Dal,Potato,Onion,Ghee,Chana dal",{0}
"Rice,Urad dal,Poha,Potato,Onion,Ginger,Garlic",{0}
"Rice,Urad Dal,Potato,Onion,Ghee,Ginger,Garlic,Paneer,Tomato",{0}
"Rava,Rice flour,Maida,Onion,Ginger,Ghee",{0}
"Ragi flour,Rice flour,Sour curd,Onion",{0}
"Oats,Rice flour,Ginger,Curd,Potato,Onion,chana dal,urad dal,mustard",{0}
"Green moong beans,Rice flour,Ginger,Onion,Ghee",{0}
"Oats,Rava,Sour curd,carrot,urad dal,chana dal,ginger,cashew,coconut grated",{0}
"Rice,urad dal,poha,ragi flour",{0}
"Rice,urad dal,poha,onion,tomato,ginger,garlic",{0}
"Urad dal,onion,ginger,coconut pieces",{0}
"Chana dal,urad dal,moong dal,ginger,garlic,onion,mint",{0}
"Rice,urad dal,poha,onion,capsicum,carrot,tomato",{0}
"Rice,urad dal,poha,onion,carrot",{0}
"Ragi flour,Rice flour,curd,onion",{0}
"oats,rava,gram flour,onion,tomato,capsicum",{0}
"Vermicelli,urad dal,onion,beans,carrot,peas,tomato puree",{0}
"Corn,rava,ginger,chana dal,urad dal,onion",{0}
"Broken wheat,onion,ginger,peas,carrot",{0}
"Raw banana,drumsticks,ash gourd,yam,pumpkin,beans,yogurt,coconut",{0}
"Coconut,chana dal,ginger",{0}
"Onion,garlic,chana dal,urad dal,tamaring,red chili",{0}
"Tomato,ginger,garlic,chili powder",{0}
"Ginger,Coriander leaves",{0}
"Mint leaves,coriander leaves,ginger,garlic,yogurt,amchur",{0}
"Rice,ginger,lemon juice",{0}
"Rice,curd,urad dal,chana dal,ginger,milk,carrot,red chili",{0}
"Rice,onion,tomato,ginger,garlic",{0}
"Rice,Coconut milk",{0}
"Rice,tamarind,urad dal,chana dal,red chilli",{0}
"Rice,spring onion,sesame seeds",{0}
"White fish,ginger,garlic,onion,coconut milk,vinegar",{0}
"Pearlspot fish,ginger,garlic,onion,tomato,red chilli,lemon juice",{0}
"Mackerel fish,coconut grated,tamarind,ginger,tomato,shallots,red chilli",{0}
"Chicken,ginger,garlic,tomato,onion,soya sauce",{0}
"Crab,onion,tomato,tamarind,coconut grated,shallots,ginger,red chilli",{0}
,{0}
"Prawns,red chilli,garlic,tamarind,coconut milk,coconut grated,ginger,onion,tomato",{0}
"Rohu fish,red chilli,garlic,lemon juice,mustard seeds,ginger,onion,tomato",{0}
"Fish,garlic,tamarind,coconut grated,teppal,onion",{0}
"Bombil,ginger,garlic,lemon juice,rice flour,rava",{0}
"Mackerel(bangda),ginger,garlic,lemon juice,rice flour,rava",{0}
,{0}
"Pomfret fish,onion,tomato,vinegar ,garlic,ginger",{0}
"Shark fish,nutmeg,red chilli,coconut,ginger,garlic,coconut,tomato",{0}
"Prawns,rice flour,onion,ginger,garlic,tomato puree,",{0}
"Prawns,ginger,garlic,coconut,curd",{0}
"Crab,flour,paprika,egg,sauce,milk,parsley",{0}
,{0}
,{0}
,{0}
"Crab,rice,tomato paste,onion,ginger,garlic,ghee,red chilli",{0}
"Crab,onion,tomato,ginger,garlic,mustard seeds",{0}
"Chicken,garlic,ginger,yogurt,lemon juice,kasturi methi",{0}
"Chicken,carrot,onion,celery,flour,potato,sweet potato,beans,cream,red pepper",{0}
"Chicken,chicken broth,celery,carrot,onion,rice",{0}
"Chicken,yogurt,lemon juice,ginger,garlic,sauce,cream,paprika",{0}
"Chicken,ghee,cashewnut,onion,garlic,ginger,cream",{0}
"Chicken,ginger,garlic,onion,tomato",{0}
"Chicken,rice,ginger,garlic,onion,tomato,nutmeg,yogurt,almond,ghee",{0}
"Peanuts,coconut dessciated,onion,ginger,garlic,mustard,tamarind",{0}
"Chicken,yogurt,ginger,garlic,onion,cashew,almond,ghee",{0}
"Mutton,onion,ginger,garlic,coconut dessicated,cashew,pista,yogurt,milk,cream,mint leaves",{0}
"Chicken,ginger,garlic,onion,soya sauce,corn flour,vinegar,chilli sauce",{0}
"Mutton,ginger,garlic,mint,almonds,curd,",{0}
"Cream,onion,tomato,garlic,ginger,cashew,ghee",{0}
"Rice,chana dal,onion,ginger,garlic,yogurt,mint leaves",{0}
"Chicken,yogurt,ginger,garlic,onion,lemon juice,rice,milk,ghee",{0}
"Rice,masoor dal,onion,ginger,garlic,mint leaves,ghee",{0}
"Milk,sugar,vermicilli,dates,raisins,almonds,pistas,ghee",{0}
"Bread,milk,cashew,pistas,ghee,sugar,almonds",{0}
"Mutton,onion,curd,garlic,ginger",{0}
"Chicken,rice,mint leaves,garlic,tomto puree,milk,ginger,onion,tomato,yogurt",{0}
"Chicken,corn flour,rice flour,egg white,ginger,garlic,curd,sugar",{0}
"Potato,onion,urad dal,ginger",{0}
"Chickpeas,onion,tomato,ginger,garlic,lemon juice,butter,maida,yeast,wheat flour",{0}
"Lamb shanks,Maida,sour cream,ginger,tomato,onion,carrots,potato,mushroom",{0}
"Mutton,onion,ginger,garlic,tomato,vinegar,potato shreds",{0}
"Coriander,green chilli,potato,onion,chaat masala,lemon juice,tamarind chutney",{0}
"Maida,ghee,khoa(mava),rava,baking powder,sugar,milk,pista",{0}
"Paneer,red chilli,onion,ginger,garlic,tomato,capsicum,garam masala",{0}
"Onion,ginger,garlic,coconutt milk,tomato,garbanzo beans,cauliflower,gold pepper,cayenne pepper",{0}
"Carrot,ghee,milk,sugar,raisins",{0}
"Lauki,elaichi,almonds,cashew,raisins,ghee,milk,condensed milk",{0}
"Paneer,spinach,ginger,garlic,tomato puree,onion,red pepper,cream",{0}
"Potato,green peas,onion,ginger,garlic,tomato,garam masala",{0}
"Paneer,butter,ginger,garlic,onion,cashew,red chilli,tomayo sauce,milk,",{0}
"Paneer,yogurt,ginger,garlic,lemon juice,onion,green capsicum,green chutney",{0}
"Paneer,onion,ginger,tomato puree,capsicum,cream,garam masala",{0}
"Potato,onion,tomato,cashew,ginger,garlic,curd,garam masala",{0}
"Chickpea flour,yogurt,onion,ghee,coriander leaves",{0}
"Paneer,red chilli,onion,amchur,turmeric,mustard seeds",{0}
"Onion,ginger,garlic,toor dal,tomato,red chilli,ghee,garam masala",{0}
"Onion,ginger,garlic,moong dal,tomato,green chilli",{0}
"Brinjal,onion,tomato,yogurt,ginger,garlic,garam masala",{0}
"Onion,ginger,garlic,Lady's finger,tomato,amchur,garam masala",{0}
"Onion,ginger,garlic,Lady's finger,tomato,amchur,red chilli powder",{0}
"Potato,onion,peas,ginger,ground spice,maida,curd,mint chutney",{0}
"Baby corn cobs,ginger,garlic,onion,tomato,garam masala",{0}
"Mushroom,red chilli,ginger,garlic,onion,tomato,cashew,capsicum,garam masala",{0}
"Onion,ginger,garlic,tomato,cashew,potato,butter,garam masala,cream,corn flour,raisins",{0}
,{0}
"Mushroom,frozen peas,onion,tomato,ginger,garlic,garam masala",{0}
"Fenugreek leaves,red pepper,paneer,coriander,tomato puree,garam masala",{0}
"Onion,coconut dried,ginger,garlic,red sev,jaggery,garam masala",{0}
"Mushroom,onion,tomato,ginger,garlic,garam masala,almond,cream",{0}
"Paneer,tomato,ginger,garlic,butter,cream,garam masala,fenugreek leaves dry",{0}
"Onion,ginger,garlic,garam masala,red kidney beans,ghee,red pepper,coriander",{0}
"Sabudana,ginger,potato,peanuts,lemon juice,green chilli",{0}
"Sabudana,Red Chilli Powder,potato,peanuts,lemon juice,green chilli,coriander powder",{0}
"Maida,ghee,potato,garlic,ginger,amchur,garam masala,peas",{0}
"Paneer,tomato,ginger,butter,garam masala,red chilli powder,gram melon seeds",{0}
"Paneer,capsicum,potato,cashew,raisins,amchur,onion,ginger,cheese,green chilli",{0}
"Potato,french beans,peas,beetroot,ginger,onion,maida,bread,cashew,green chilli",{0}
"French beans,carrot,cabbage,peas,gram flour,ginger,garlic,potato,corn,chaat masala",{0}
"Almond,saffron,ghee,sugar",{0}
"Beetroot,milk,sugar,ghee,elaichi,cashew,raisins",{0}
