product_id,product_name,description,image_url,collection_id,collection_name,is_veg,rating,price,ingredients
1,Plain Dosa,Name,https://www.vegrecipesofindia.com/sada-dosa-recipe/,1,South Indian,1,4,70,{0}
2,Masala Dosa,Name,http://www.pbs.org/food/recipes/masala-dosa-south-indian-crepes/,1,South Indian,1,4.2,80,{0}
3,Mysore Masala Dosa,Name,https://www.vegrecipesofindia.com/mysore-masala-dosa/#wprm-recipe-container-139473,1,South Indian,1,4.2,90,{0}
4,Paneer Masala Dosa,Name,https://revisfoodography.com/2015/09/paneer-masala-dosa/,1,South Indian,1,2,90,{0}
5,Rava Masala Doda,Name,https://www.vegrecipesofindia.com/rava-dosa-crisp-rava-dosa/#wprm-recipe-container-138815,1,South Indian,1,5,100,{0}
6,Nachani Dosa,name,http://foodviva.com/diabetic-food/ragi-dosa/,1,South Indian,1,3,75,{0}
7,South Indian Platter,name,image_url,1,South Indian,1,4.3,65,{0}
8,Oats Masala Dosa,name,http://foodviva.com/diabetic-food/ragi-dosa/,1,South Indian,1,3.6,110,{0}
9,Moongdal Dosa,name,https://www.indianhealthyrecipes.com/wp-content/uploads/2012/09/instant-pesarratu-recipe.jpg,1,South Indian,1,4.8,125,{0}
10,Oats Idali,name,https://www.vegrecipesofindia.com/oats-idli-recipe-oats-recipes/#wprm-recipe-container-136525,1,South Indian,1,4.4,80,{0}
11,Ragi Idali,name,https://www.vegrecipesofindia.com/ragi-idli-recipe/#wprm-recipe-container-135781,1,South Indian,1,4,60,{0}
12,Masala Fried Idli,name,https://www.vegrecipesofindia.com/masala-idli-recipe/#wprm-recipe-container-135788,1,South Indian,1,4.1,55,{0}
13,Medu Wada,name,https://www.vegrecipesofindia.com/medu-vada-recipe-medu-vada/#wprm-recipe-container-136562,1,South Indian,1,4.0,45,{0}
14,Dal Wada,name,https://www.indianhealthyrecipes.com/mixed-dal-vada-recipe/,1,South Indian,1,4.5,50,{0}
15,veg Uttapam,Name,https://www.archanaskitchen.com/vegetable-uttapam,1,South Indian,,3,80,{0}
16,Carrot Uttapam,name,https://blogexplore.com/food/breakfast/carrot-uttapam/,1,South Indian,1,3.5,160,{0}
17,Coconut uttapam,Name,image_url,1,South Indian,1,5,90,{0}
18,Ragi Uttapam,name,image_url,1,South Indian,1,3.5,95,{0}
19,Oats Uttapam,name,image_url,1,South Indian,1,4,150,{0}
20,Vermicelli Upama,name,image_url,1,South Indian,1,3,75,{0}
21,Corn Upama,name,image_url,1,South Indian,1,3.8,90,{0}
22,Wheat upama,name,image_url,1,South Indian,1,4.7,60,{0}
23,Avial,name,https://food.ndtv.com/recipe-kerala-style-avial-486444,1,South Indian,1,4,70,{0}
24,Coconut Chutney,name,https://www.vegrecipesofindia.com/hotel-style-coconut-chutney-recipe/,1,South Indian,1,4.2,80,{0}
25,Onoin Chutney,Name,https://www.vegrecipesofindia.com/onion-chutney-recipe/,1,South Indian,1,4.2,90,{0}
26,Tomato Chutney,name,https://www.allrecipes.com/recipe/74204/tomato-chutney-ii/,1,South Indian,1,2,90,{0}
27,Coriander Chutney,name,https://www.vegrecipesofindia.com/coriander-chutney/,1,South Indian,1,5,100,{0}
28,Pudina Chutney,name,https://vegecravings.com/mint-chutney-recipe/,1,South Indian,1,3,75,{0}
