product_id,product_name,description,image_url,collection_id,collection_name,is_veg,rating,price,ingredients
1,Plain Dosa,Name,https://www.vegrecipesofindia.com/wp-content/uploads/2018/11/plain-dosa-recipe-1a.jpg,1,South Indian,1,4,70,{0}
2,Masala Dosa,Name,https://recipes.timesofindia.com/photo/54289752.cms,1,South Indian,1,4.2,80,{0}
3,Mysore Masala Dosa,Name,http://farm8.staticflickr.com/7322/9550547181_8848955222_o.jpg,1,South Indian,1,4.2,90,{0}
4,Paneer Masala Dosa,Name,https://pull-revisfoodography.netdna-ssl.com/wp-content/uploads/2015/09/paneer-masala-dosa-vert.jpg,1,South Indian,1,2,90,{0}
5,Rava Dosa,Name,http://cdn1.foodviva.com/static-content/food-images/south-indian-recipes/rava-dosa/rava-dosa.jpg,1,South Indian,1,5,100,{0}
6,Nachani Dosa,name,http://www.smithakalluraya.com/wp-content/uploads/2014/11/fermented-ragi-dosa-nachni-dosa-fingermillet-crepe.1024x1024-6.jpg,1,South Indian,1,3,75,{0}
7,South Indian Platter,name,https://i.pinimg.com/736x/c9/57/a4/c957a4faf9d16471d944adb20d2e5223--indian-fat.jpg,1,South Indian,1,4.3,65,{0}
8,Oats Masala Dosa,name,http://lifestylesmakeover.com/wp-content/uploads/2018/12/mysore-masala-dosa.jpg,1,South Indian,1,3.6,110,{0}
9,Moongdal Dosa,name,http://cdn3.foodviva.com/static-content/food-images/andhra-recipes/pesarattu/pesarattu.jpg,1,South Indian,1,4.8,125,{0}
10,Oats Idli,name,http://cdn2.foodviva.com/static-content/food-images/breakfast-recipes/oats-idli/oats-idli.jpg,1,South Indian,1,4.4,80,{0}
11,Ragi Idli,name,https://www.whiskaffair.com/wp-content/uploads/2017/03/Ragi-Idli-800x1198.jpg,1,South Indian,1,4,60,{0}
12,Masala Fried Idli,name,https://i.ytimg.com/vi/7lS3DdJl43o/hqdefault.jpg,1,South Indian,1,4.1,55,{0}
13,Medu Wada,name,https://hebbarskitchen.com/wp-content/uploads/2017/08/medu-vada-recipe-in-mixie-uddina-vada-medhu-vadai-ulundu-vadai-1-1068x1423.jpeg,1,South Indian,1,4,45,{0}
14,Dal Wada,name,http://cdn2.foodviva.com/static-content/food-images/snacks-recipes/masala-vada-chan-dal/masala-vada-chana-dal.jpg,1,South Indian,1,4.5,50,{0}
15,Uttapam,Name,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/kitchennandoos/vegetable_uttapam_.jpg,1,South Indian,,3,80,{0}
16,Carrot Uttapam,name,https://balancenutritiononline.com/wp-content/uploads/2017/11/Carrot-Uttapam-1300x1300.jpg,1,South Indian,1,3.5,160,{0}
18,Ragi Uttapam,name,https://www.sanjeevkapoor.com/UploadFiles/RecipeImages/Instant-Ragi-Uttapam-Turban-Tadka-FoodFood.jpg,1,South Indian,1,3.5,95,{0}
19,Oats Uttapam,name,https://i.ndtvimg.com/i/2017-10/uttapam-recipes_806x605_81507637803.jpg,1,South Indian,1,4,150,{0}
20,Vermicelli Upama,name,https://nishkitchen.com/wp-content/uploads/2016/09/vermicelli-upma-3B.jpg,1,South Indian,1,3,75,{0}
21,Corn Upama,name,http://ksmartstatic.sify.com/cmf-1.0.0/appflow/bawarchi.com/Image/oetuogfjhhffc_bigger.jpg,1,South Indian,1,3.8,90,{0}
22,Wheat upama,name,"https://www.tarladalal.com/members/9306/big/big_broken_wheat_upma,_healthy_breakfast_recipe-13463.jpg?size=696X905",1,South Indian,1,4.7,60,{0}
23,Avial,name,https://i.ndtvimg.com/i/2018-02/aviyal_620x350_81517900508.jpg?downsize=650:400&output-quality=70&output-format=webp,1,South Indian,1,4,70,{0}
24,Coconut Chutney,name,https://www.tarladalal.com/members/9306/big/big_coconut_chutney_(_mumbai_roadside_recipes)-8298.jpg?size=696X905,1,South Indian,1,4.2,80,{0}
25,Onion Chutney,Name,https://hebbarskitchen.com/wp-content/uploads/2017/06/onion-chutney-recipe-south-indian-onion-chutney-for-idli-dosa-1-1068x1423.jpeg,1,South Indian,1,4.2,90,{0}
26,Tomato Chutney,name,https://hebbarskitchen.com/wp-content/uploads/2016/11/tomato-chutney-1-1068x1423.jpeg,1,South Indian,1,2,90,{0}
27,Coriander Chutney,name,https://i1.wp.com/vegecravings.com/wp-content/uploads/2016/12/coriander-tomato-chutney-recipe-step-by-step-instructions.jpg?w=1500,1,South Indian,1,5,100,{0}
28,Pudina Chutney,name,https://simpleindianrecipes.com/portals/0/sirimages/mint%20chutney%20M.JPG,1,South Indian,1,3,75,{0}
29,Lemon Rice,name,https://myfoodstory.com/wp-content/uploads/2018/09/Easy-Lemon-Rice-Yellow-Rice-2.jpg,1,South Indian,1,4.3,65,{0}
30,Curd Rice,name,https://www.indianhealthyrecipes.com/wp-content/uploads/2015/03/curd-rice.jpg,1,South Indian,1,3.6,110,{0}
31,Tomato Rice,name,https://recipes.timesofindia.com/photo/54673775.cms?imgsize=320474,1,South Indian,1,4.8,125,{0}
32,Coconut Rice,Name,https://www.indianhealthyrecipes.com/wp-content/uploads/2015/03/coconut-rice-1-500x447.jpg,1,South Indian,1,4.4,80,{0}
33,Tamarind Rice,name,https://www.vegrecipesofindia.com/wp-content/uploads/2016/10/tamarind-rice-recipe-1.jpg,1,South Indian,1,4,60,{0}
34,Sesame Rice,name,https://s3.amazonaws.com/finecooking.s3.tauntonclud.com/app/uploads/2017/04/18185446/051115012-01-sesame-rice-recipe-main.jpg,1,South Indian,1,4.1,55,{0}
35,Fish Moilee,name,https://i2.wp.com/www.cookingcurries.com/wp-content/uploads/2016/11/Fish-Molee-Kerala-Style-Fish-Curry-with-Coconut-Milk-Kerala-Christmas-Recipes_thumb.jpg?zoom=2&resize=677%2C1015,1,South Indian,0,4,45,{0}
36,Karimeen Fry,name,https://5.imimg.com/data5/IO/MQ/MY-41206114/karimeen-fry-500x500.jpg,1,South Indian,0,4.5,50,{0}
37,Aila Fish Curry,name,https://i.ytimg.com/vi/3iJ8ywXqiYU/hqdefault.jpg,1,South Indian,0,3,80,{0}
