collection_id,collection_name,image_url,products
1,South Indian,https://www.vegrecipesofindia.com/wp-content/uploads/2018/11/plain-dosa-recipe-1a.jpg,{}
3,Main Course,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/kadai-paneer-recipe-karahi-paneer-how-to-make-kadai-paneer-gravy-1-1068x1423.jpeg,{}
4,Starters,https://www.vegrecipesofindia.com/wp-content/uploads/2018/07/aloo-chaat-recipe-2.jpg,{}
5,Biryani,https://www.indianhealthyrecipes.com/wp-content/uploads/2013/03/hyderabadi-vegetable-dum-biryani-recipe.jpg,{}
6,Desserts,https://i.ytimg.com/vi/0wLGXbTmOKQ/maxresdefault.jpg,{}
7,Snacks,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/aloo-pakora-recipe-potato-pakora-recipe-aloo-bajji-or-potato-bajji-1-1068x1423.jpeg,{}
8,Salads,https://realfood.tesco.com/media/images/RFO-1400x919-Roasted-veg-salad-with-cashew-dressing-mini-5d03a1f0-1c52-4662-aff4-d968f08cb5f6-0-1400x919.jpg,{}
9,Chinese,https://www.indianhealthyrecipes.com/wp-content/uploads/2016/02/schezwan-noodles.jpg,{}
10,Pizza & Pasta,http://doublediamondacres.com/wp-content/uploads/2016/10/red-delight-margherita-pizza.jpg,{}
11,Beverages,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfKC7sXJ0bU_YvoaO-1p4oChzHsX1sJSgfVo8MIZaGo0Uk2n_h,{}
12,Roti & Rice,https://assets.betterbutter.in/386x386/public/recipe_thumb/medium/14423167232KIe8WnTzK_thumb.jpg,{}
