product_id,product_name,description,image_url,collection_id,collection_name,is_veg,rating,price,ingredients,ingredients_text,is_diabetes,is_cholestrol,is_kid,is_senior
1,Fish Moilee,name,https://i2.wp.com/www.cookingcurries.com/wp-content/uploads/2016/11/Fish-Molee-Kerala-Style-Fish-Curry-with-Coconut-Milk-Kerala-Christmas-Recipes_thumb.jpg?zoom=2&resize=677%2C1015,10,Seafood,0,4,170,"{194, 345}","White fish, garlic,onion,coconut milk,vinegar",1,0,0,0
2,Karimeen Fry,name,https://5.imimg.com/data5/IO/MQ/MY-41206114/karimeen-fry-500x500.jpg,2,Main Course,0,3.5,100,"{303, 180}","Pearlspot fish, garlic,onion,tomato,red chilli,lemon juice",1,0,0,0
3,Aila Fish Curry,name,https://i.ytimg.com/vi/3iJ8ywXqiYU/hqdefault.jpg,10,Seafood,0,4.5,120,{333},"Mackerel fish,coconut grated,tamarind, tomato,shallots,red chilli",1,0,0,0
4,Kerala Chicken Roast,name,https://www.ndtv.com/cooks/images/kerala.chicken.roast%20%281%29.jpg?downsize=650:400&output-quality=70&output-format=webp,2,Main Course,0,4,130,"{79,309}","Chicken, garlic,tomato,onion,soya sauce",1,0,0,0
5,Naadan Crab Fry,name,http://healthyliving.natureloc.com/wp-content/uploads/2015/11/Traditional-Kerala-Crab-curry-or-Nadan-Njandu-Curry.jpg,10,Seafood,0,4.5,125,{116},"Crab,onion,tomato,tamarind,coconut grated,shallots, red chilli",1,0,0,0
6,Goan Curry,name,https://myfoodstory.com/wp-content/uploads/2017/08/Goan-Prawn-Curry-with-Coconut-Ambot-Tik-2.jpg,10,Seafood,0,4,80,{273},"Prawns,red chilli,garlic,tamarind,coconut milk,coconut grated, onion,tomato",1,0,0,0
7,Machha Besara,name,https://i0.wp.com/www.bhupinderkumar.com/wp-content/uploads/2017/05/anu1.jpg?zoom=2&resize=916%2C458,10,Seafood,0,3.5,100,"{194, 180}","Rohu fish,red chilli,garlic,lemon juice,mustard seeds, onion,tomato",1,0,0,0
8,Malvani Curry,name,https://www.ruchikrandhap.com/wp-content/uploads/2016/03/MalvaniMuttonCurry28329-1.jpg,10,Seafood,0,2.5,90,{303},"Fish,garlic,tamarind,coconut grated,teppal,onion",1,0,0,0
9,Bangada Fry,name,https://www.kannammacooks.com/wp-content/uploads/2015/11/pomfret-fry-recipe-vavval-meen-varuval-shallow-fry.jpg,10,Seafood,0,4,95,"{194, 358, 180}","Mackerel(bangda), garlic,lemon juice,rice flour,rava",1,0,0,0
10,Malvani Mutton Curry,name,https://www.ruchikrandhap.com/wp-content/uploads/2016/03/MalvaniMuttonCurry28329-1.jpg,2,Main Course,0,3.5,105,{221},mutton,1,0,0,0
11,Prawns Curry,name,https://i.ndtvimg.com/i/2017-10/goan-prawn-curry-recipe_620x330_51508931774.jpg,10,Seafood,0,3,150,"{358, 273}","Prawns,rice flour,onion, garlic,tomato puree,",1,0,0,0
12,Prawns Fry,name,https://i.pinimg.com/originals/42/37/78/4237787f7e2e7338c97298308fa44ce5.jpg,10,Seafood,0,4,170,"{273, 396}","Prawns, garlic,coconut,curd",1,0,0,0
13,Creamy Crab Meat,name,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2009/4/14/1/FNM060109TakeIt005_s4x3.jpg.rend.hgtvcom.826.620.suffix/1371589415768.jpeg,10,Seafood,0,5,180,{116},"cream,crab",1,0,0,0
14,Crab Soup,name,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-crab-bisque-horizontal-1542322699.jpg?crop=0.980xw:0.898xh;0.0204xw,0.0740xh&resize=980:*",11,Soups,0,4,200,{116},crab,1,0,0,0
15,Crab Leg Masala,name,https://i.pinimg.com/originals/c7/9d/47/c79d47fbe843c88cb7de54ecc1acfd6d.jpg,10,Seafood,0,4.5,250,{116},"Crab,onion,tomato, garlic,mustard seeds",1,0,0,0
16,Tandoori Chicken,name,https://dinnerthendessert.com/wp-content/uploads/2018/03/Tandoori-Chicken-4.jpg,2,Main Course,0,4.5,225,"{79, 366, 180}","Chicken,garlic, yogurt,lemon juice,kasturi methi",1,0,0,0
17,Mughlai Chicken,name,http://www.theflavourtrip.com/wp-content/uploads/2018/01/Chciken-Mughlai-Final-1.jpg,2,Main Course,0,3.5,175,"{79,366, 64}","Chicken,ghee,cashewnut,onion,garlic, cream",1,0,0,0
18,Chicken Lollipop,name,https://i.pinimg.com/474x/8c/2b/01/8c2b015d172f8eec08a45a6a00ebc920--indian-starter-recipes-indian-chicken-recipes.jpg,12,Starters,0,3.5,160,"{79, 345,309}","Chicken, garlic,onion,soya sauce,corn flour,vinegar,chilli sauce",1,0,0,0
19,Chicken 65,name,https://assets.betterbutter.in/386x386/pavithira-vijay0145756037056e09b318d05d.jpg,12,Starters,0,3,155,"{79, 133, 358, 396}","Chicken,corn flour,rice flour,egg white, garlic,curd,sugar",1,0,0,0
20,Chicken Fried Momos,name,https://media-cdn.tripadvisor.com/media/photo-s/0b/13/78/a8/cheese-mushroom-original.jpg,12,Starters,0,4,120,"{79, 345,309}","Refined flour,baking powder,chicken,onion,garlic,soya sauce,vinegar",1,0,0,0
21,Fish Fried Momos,name,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Chilli_Mushroom_And_Cheese_Momo_recipe_Dimsum_Recipe-4.jpg,12,Starters,0,2,140,"{333, 354, 63,311,66,53}","Wheat flour,carrots,cabbage,spring onions,beans,cauliflower,fish,sauce,onion,garlic,black pepper",1,0,0,0
22,Banana Bread Cookies,name,https://www.centercutcook.com/wp-content/uploads/2017/01/banana-bread-cookies-2.jpg,7,Desserts,0,5,80,"{133, 354, 24,49}","Brown sugar,banana,egg,wheat flour",1,0,0,0
23,Pecan Balls,name,https://d1doqjmisr497k.cloudfront.net/-/media/mccormick-us/recipes/mccormick/p/600/pecan-cookie-balls.ashx?vd=20180710T033734Z&hash=EAA67D1AEDB5EAC4D56EF957617E10FB94C176A5,12,Starters,0,3.5,90,"{133, 354}","Maida,wheat flour,pecan,egg",1,0,0,0
24,Chocolate chip carrot,name,https://www.chelsea.co.nz/files/cache/3eab732ef0411e2c1c9c243dcdcb9523_f2349.jpg,7,Desserts,0,4,100,"{133, 227, 89, 63,49}","Stevia,brown sugar,carrot,oats,maida,egg,chocolate chips",1,0,0,0
25,Cinnamon Roll cookies,name,https://images-gmi-pmc.edge-generalmills.com/c00db207-2d88-42b9-a740-784c5ad55f9d.jpg,7,Desserts,0,5,110,"{354, 227, 71,93}","Oats,wheat flour,cinnamon,milk,cheese,maple syrup",1,0,0,0
